"","city","state","count","city.state","lon","lat"
"409","Dillon","MT",1,"Dillon ,  MT",-112.6389244,45.2166324
"410","Dinosaur","CO",1,"Dinosaur ,  CO",-109.0145613,40.243578
"411","Dinuba","CA",1,"Dinuba ,  CA",-119.3870656,36.5432837
"412","District Heights","MD",1,"District Heights ,  MD",-76.8894171,38.8576128
"413","Dolton","IL",1,"Dolton ,  IL",-87.607268,41.6389236
"414","Douglas","AZ",1,"Douglas ,  AZ",-109.5453447,31.3445471
"415","Douglas","GA",1,"Douglas ,  GA",-82.8498654,31.5088073
"416","Douglas","WY",2,"Douglas ,  WY",-105.3822069,42.7596897
"417","Douglas City","CA",1,"Douglas City ,  CA",-122.9438195,40.6518023
"418","Douglasville","GA",2,"Douglasville ,  GA",-84.7477136,33.7514966
"419","Dover","AR",1,"Dover ,  AR",-93.1143407,35.4014712
"420","Dover","DE",1,"Dover ,  DE",-75.5243682,39.158168
"421","Downey","CA",1,"Downey ,  CA",-118.1331593,33.9401088
"422","Draper","UT",1,"Draper ,  UT",-111.8638226,40.5246711
"423","Dublin","NC",1,"Dublin ,  NC",-78.726407,34.6568361
"424","Dundalk","MD",1,"Dundalk ,  MD",-76.5205184,39.2506633
"425","Dunsmuir","CA",2,"Dunsmuir ,  CA",-122.2719529,41.2082089
"426","Dunwoody","GA",1,"Dunwoody ,  GA",-84.3346473,33.9462125
"427","Durham","CA",1,"Durham ,  CA",-121.7999767,39.6462733
"428","Durham","NC",5,"Durham ,  NC",-78.898619,35.9940329
"429","Eagan","MN",1,"Eagan ,  MN",-93.1668858,44.8041322
"430","Eagar","AZ",2,"Eagar ,  AZ",-109.291475,34.1111581
"431","Eagle Mountain","UT",1,"Eagle Mountain ,  UT",-112.006882,40.3141169
"432","East Baton Rouge","LA",1,"East Baton Rouge ,  LA",-91.09694,30.5693593
"433","East Bernstadt","KY",1,"East Bernstadt ,  KY",-84.1177098,37.1895318
"434","East Flat Rock","NC",1,"East Flat Rock ,  NC",-82.4220631,35.2801166
"435","East Hollywood","CA",1,"East Hollywood ,  CA",-118.2935891,34.091341
"436","East Los Angeles","CA",1,"East Los Angeles ,  CA",-118.1669736,34.0224417
"437","East Point","GA",2,"East Point ,  GA",-84.4393724,33.6795531
"438","East Ridge","TN",1,"East Ridge ,  TN",-85.2256635,34.9947441
"439","East St. Louis","IL",1,"East St. Louis ,  IL",-90.1506465,38.624514
"440","East Stroudsburg","PA",1,"East Stroudsburg ,  PA",-75.1812913,40.9995386
"441","East Troy","WI",1,"East Troy ,  WI",-88.405096,42.7852922
"442","East Wenatchee","WA",1,"East Wenatchee ,  WA",-120.2931263,47.4156824
"443","Eastaboga","AL",1,"Eastaboga ,  AL",-86.0187907,33.6070215
"444","Eaton Rapids Township","MI",1,"Eaton Rapids Township ,  MI",-84.7524482,42.5681472
"445","Eau Claire","WI",4,"Eau Claire ,  WI",-91.4984941,44.811349
"446","Ebey Island","WA",1,"Ebey Island ,  WA",-122.1618,47.9695409
"447","Eden","GA",1,"Eden ,  GA",-81.3906678,32.173813
"448","Edgewater","FL",1,"Edgewater ,  FL",-80.9022758,28.9888754
"449","Edgewood","NM",1,"Edgewood ,  NM",-106.1914141,35.0614358
"450","Edinburg","NY",1,"Edinburg ,  NY",-74.1040191,43.2217388
"451","Edinburg","TX",1,"Edinburg ,  TX",-98.1633432,26.3017374
"452","Edmond","OK",1,"Edmond ,  OK",-97.4780954,35.6528323
"453","Edmonton","KY",1,"Edmonton ,  KY",-85.6121906,36.9800563
"454","Efland","NC",1,"Efland ,  NC",-79.1690315,36.0811881
"455","El Cajon","CA",2,"El Cajon ,  CA",-116.9625269,32.7947731
"456","El Monte","CA",1,"El Monte ,  CA",-118.0275667,34.0686206
"457","El Paso","TX",8,"El Paso ,  TX",-106.4850217,31.7618778
"458","El Sereno","CA",1,"El Sereno ,  CA",-118.1786407,34.0735812
"459","Elberton","GA",1,"Elberton ,  GA",-82.8670839,34.1112226
"460","Eldorado Springs","CO",1,"Eldorado Springs ,  CO",-105.2769348,39.9324862
"461","Elgin","IL",1,"Elgin ,  IL",-88.2825668,42.0354084
"462","Elizabethton","TN",1,"Elizabethton ,  TN",-82.2106876,36.3487196
"463","Elizabethtown","KY",3,"Elizabethtown ,  KY",-85.8649408,37.7030646
"464","Elk Grove","CA",2,"Elk Grove ,  CA",-121.3716178,38.4087993
"465","Elk Plain","WA",1,"Elk Plain ,  WA",-122.39762,47.0531551
"466","Elkhart","IN",2,"Elkhart ,  IN",-85.9766671,41.6819935
"467","Elkhorn","WI",1,"Elkhorn ,  WI",-88.5445447,42.6727927
"468","Elkins","WV",1,"Elkins ,  WV",-79.8467349,38.9259397
"469","Elko","NV",1,"Elko ,  NV",-115.7631232,40.8324211
"470","Elkridge","MD",1,"Elkridge ,  MD",-76.7625073,39.1978788
"471","Elkton","MD",2,"Elkton ,  MD",-75.8332718,39.6067789
"472","Ellis County","TX",2,"Ellis County ,  TX",-96.8350999,32.2619765
"473","Elmira","NY",1,"Elmira ,  NY",-76.8077338,42.0897965
"474","Elsmere","KY",1,"Elsmere ,  KY",-84.6046663,39.0125608
"475","Emeryville","CA",2,"Emeryville ,  CA",-122.2852473,37.831316
"476","Emporia","VA",1,"Emporia ,  VA",-77.5424809,36.6859829
"477","Encinitas","CA",1,"Encinitas ,  CA",-117.2919818,33.0369867
"478","England","AR",1,"England ,  AR",-91.9690284,34.5442609
"479","Englewood","CO",1,"Englewood ,  CO",-104.9877597,39.6477653
"480","Englewood","FL",1,"Englewood ,  FL",-82.3525952,26.9620053
"481","Englewood","OH",1,"Englewood ,  OH",-84.3021672,39.8775553
"482","English","IN",1,"English ,  IN",-86.4641498,38.3345045
"483","Enid","OK",1,"Enid ,  OK",-97.8783911,36.3955891
"484","Enoree","SC",1,"Enoree ,  SC",-81.9650977,34.6565154
"485","Epping","NH",1,"Epping ,  NH",-71.0735476,43.0534843
"486","Escondido","CA",1,"Escondido ,  CA",-117.086421,33.1192068
"487","Essex","MD",1,"Essex ,  MD",-76.474962,39.3092743
"488","Estill Springs","TN",1,"Estill Springs ,  TN",-86.1280417,35.2706372
"489","Eufaula","AL",1,"Eufaula ,  AL",-85.1454876,31.8912717
"490","Eufaula","OK",1,"Eufaula ,  OK",-95.5824846,35.2873206
"491","Eugene","OR",4,"Eugene ,  OR",-123.0867536,44.0520691
"492","Euless","TX",2,"Euless ,  TX",-97.0819541,32.8370727
"493","Eureka","CA",1,"Eureka ,  CA",-124.1636729,40.8020712
"494","Eustis","FL",2,"Eustis ,  FL",-81.6853534,28.8527675
"495","Evangeline Parish","LA",1,"Evangeline Parish ,  LA",-92.3813621,30.7821781
"496","Evans","CO",2,"Evans ,  CO",-104.6921874,40.3763701
"497","Evansville","IN",3,"Evansville ,  IN",-87.5710898,37.9715592
"498","Everett","MA",1,"Everett ,  MA",-71.0536625,42.40843
"499","Everett","WA",1,"Everett ,  WA",-122.2020795,47.9789848
"500","Fair Oaks","CA",2,"Fair Oaks ,  CA",-121.2721718,38.6446264
"501","Fairborn","OH",1,"Fairborn ,  OH",-84.0193789,39.8208925
"502","Fairchance","PA",1,"Fairchance ,  PA",-79.7544923,39.8247986
"503","Fairfax","VA",1,"Fairfax ,  VA",-77.3063733,38.8462236
"504","Fairfield","CA",1,"Fairfield ,  CA",-122.0399663,38.2493581
"505","Fairfield","CT",1,"Fairfield ,  CT",-73.2612615,41.1408363
"506","Fairfield","OH",1,"Fairfield ,  OH",-84.5603187,39.3454673
"507","Fairhope","AL",1,"Fairhope ,  AL",-87.9033261,30.5229719
"508","Fairland","OK",1,"Fairland ,  OK",-94.8474567,36.7511833
"509","Fairmont","MN",1,"Fairmont ,  MN",-94.4610832,43.6521775
"510","Fairview","OH",1,"Fairview ,  OH",-81.2328871,40.0570139
"511","Fairview","TN",2,"Fairview ,  TN",-87.1213953,35.9820074
"512","Falcon Heights","MN",1,"Falcon Heights ,  MN",-93.166333,44.9916323
"513","Falls Church","VA",1,"Falls Church ,  VA",-77.1710914,38.882334
"514","Farmington","AR",1,"Farmington ,  AR",-94.2471515,36.0420248
"515","Farmington","NM",2,"Farmington ,  NM",-108.2186856,36.7280583
"516","Fayetteville","NC",3,"Fayetteville ,  NC",-78.8783585,35.0526641
"517","Federal Way","WA",2,"Federal Way ,  WA",-122.3126222,47.3223221
"518","Findlay","OH",1,"Findlay ,  OH",-83.6499321,41.04422
"519","Finney County","KS",1,"Finney County ,  KS",-100.8903099,38.0625252
"520","Fishers","IN",1,"Fishers ,  IN",-86.01335,39.9567548
"521","Fisty","KY",1,"Fisty ,  KY",-83.1013964,37.3352367
"522","Flagstaff","AZ",5,"Flagstaff ,  AZ",-111.651302,35.1982836
"523","Flatwoods","KY",2,"Flatwoods ,  KY",-82.7171081,38.5225804
"524","Fletcher","NC",1,"Fletcher ,  NC",-82.5012316,35.4306712
"525","Floral City","FL",2,"Floral City ,  FL",-82.2967581,28.7499876
"526","Florence","CA",2,"Florence ,  CA",-118.2481287,33.9744592
"527","Florence","OR",1,"Florence ,  OR",-124.099841,43.9826214
"528","Florence","SC",1,"Florence ,  SC",-79.7625625,34.1954331
"529","Florida City","FL",1,"Florida City ,  FL",-80.4792237,25.4478898
"530","Florissant","MO",1,"Florissant ,  MO",-90.322614,38.789217
"531","Floyd County","GA",1,"Floyd County ,  GA",-85.2308414,34.2828967
"532","Follansbee","WV",1,"Follansbee ,  WV",-80.5959065,40.3275693
"533","Fond du Lac","WI",1,"Fond du Lac ,  WI",-88.4470508,43.7730448
"534","Fontana","CA",3,"Fontana ,  CA",-117.435048,34.0922335
"535","Forest Park","GA",1,"Forest Park ,  GA",-84.3690918,33.6220542
"536","Forks Township","PA",1,"Forks Township ,  PA",-75.2128996,40.7345429
"537","Fort Ashby","WV",1,"Fort Ashby ,  WV",-78.7686297,39.5031465
"538","Fort Collins","CO",3,"Fort Collins ,  CO",-105.084423,40.5852602
"539","Fort Lauderdale","FL",1,"Fort Lauderdale ,  FL",-80.1373174,26.1224386
"540","Fort Littleton","PA",1,"Fort Littleton ,  PA",-77.9636513,40.0626872
"541","Fort Madison","IA",1,"Fort Madison ,  IA",-91.314535,40.6297634
"542","Fort Morgan","CO",1,"Fort Morgan ,  CO",-103.7999509,40.2502582
"543","Fort Myers","FL",1,"Fort Myers ,  FL",-81.8723084,26.640628
"544","Fort Pierce","FL",2,"Fort Pierce ,  FL",-80.3256056,27.4467056
"545","Fort Smith","AR",2,"Fort Smith ,  AR",-94.3985475,35.3859242
"546","Fort Smith","OK",1,"Fort Smith ,  OK",-94.3985475,35.3859242
"547","Fort Stockton","TX",1,"Fort Stockton ,  TX",-102.8793222,30.8940431
"548","Fort Valley","GA",1,"Fort Valley ,  GA",-83.8874084,32.5537585
"549","Fort Walton Beach","FL",1,"Fort Walton Beach ,  FL",-86.6170308,30.4200708
"550","Fort Washington","MD",1,"Fort Washington ,  MD",-77.0230313,38.7073379
"551","Fort Wayne","IN",4,"Fort Wayne ,  IN",-85.1393513,41.079273
"552","Fort Worth","TX",6,"Fort Worth ,  TX",-97.3307658,32.7554883
"553","Fountain","CO",1,"Fountain ,  CO",-104.7008056,38.682219
"554","Fountain Inn","SC",1,"Fountain Inn ,  SC",-82.1956679,34.6890095
"555","Fountain Valley","CA",1,"Fountain Valley ,  CA",-117.9544069,33.7090212
"556","Fox Crossing","WI",1,"Fox Crossing ,  WI",-88.4968049,44.2306388
"557","Frametown","WV",1,"Frametown ,  WV",-80.8584357,38.6378762
"558","Franklin","LA",1,"Franklin ,  LA",-91.5015002,29.7960399
"559","Franklin","NC",2,"Franklin ,  NC",-83.3815429,35.1823171
"560","Franklin","TN",1,"Franklin ,  TN",-86.8688899,35.9250637
"561","Franklin","WI",1,"Franklin ,  WI",-88.0384195,42.888627
"562","Frederica","DE",1,"Frederica ,  DE",-75.4657542,39.0090017
"563","Frederickstown","WA",1,"Frederickstown ,  WA",-90.2940069,37.5597754
"564","Freeport","TX",1,"Freeport ,  TX",-95.3596617,28.9541368
"565","Fremont","CA",3,"Fremont ,  CA",-121.9885719,37.5482697
"566","French Lick","IN",1,"French Lick ,  IN",-86.6199914,38.5489431
"567","Fresno","CA",11,"Fresno ,  CA",-119.7871247,36.7377981
"568","Friendswood","TX",1,"Friendswood ,  TX",-95.2010447,29.5293998
"569","Fritch","TX",1,"Fritch ,  TX",-101.603228,35.6397655
"570","Fruitland Park","FL",1,"Fruitland Park ,  FL",-81.9064705,28.8613765
"571","Ft. Lauderdale","FL",1,"Ft. Lauderdale ,  FL",-80.1373174,26.1224386
"572","Fullerton","CA",1,"Fullerton ,  CA",-117.9242123,33.8703645
"573","Fulshear","TX",1,"Fulshear ,  TX",-95.8998969,29.6931119
"574","Fulton","KY",1,"Fulton ,  KY",-88.8742259,36.5042277
"575","Fuqua","TX",1,"Fuqua ,  TX",-94.7363152,30.4471514
"576","Gainesville","FL",2,"Gainesville ,  FL",-82.3248262,29.6516344
"577","Gainesville","GA",1,"Gainesville ,  GA",-83.8240663,34.2978794
"578","Gallatin","TN",1,"Gallatin ,  TN",-86.4466599,36.3883809
"579","Gallup","NM",1,"Gallup ,  NM",-108.7425843,35.5280783
"580","Garden City","ID",1,"Garden City ,  ID",-116.2381744,43.6221108
"581","Gardena","CA",2,"Gardena ,  CA",-118.3089624,33.8883487
"582","Gardner","KS",1,"Gardner ,  KS",-94.9271868,38.8108408
"583","Gardnerville Ranchos","NV",1,"Gardnerville Ranchos ,  NV",-119.7412875,38.8882398
"584","Garland","TX",4,"Garland ,  TX",-96.6388833,32.912624
"585","Gary","IN",4,"Gary ,  IN",-87.3371523,41.6020403
"586","Gaston County","NC",1,"Gaston County ,  NC",-81.2078164,35.2895651
"587","Gastonia","NC",3,"Gastonia ,  NC",-81.1873005,35.262082
"588","Gautier","MS",1,"Gautier ,  MS",-88.6116854,30.385755
"589","Genesee Township","MI",1,"Genesee Township ,  MI",-83.6135572,43.0935147
"590","Geneva","WI",2,"Geneva ,  WI",-88.4597673,42.6386048
"591","Geneva Township","OH",1,"Geneva Township ,  OH",-80.9650023,41.8213181
"592","Georgetown","KY",1,"Georgetown ,  KY",-84.5588311,38.2097967
"593","Germantown","PA",1,"Germantown ,  PA",-75.1749671,40.028521
"594","Gibson","LA",1,"Gibson ,  LA",-90.990653,29.6868756
"595","Gibson County","TN",1,"Gibson County ,  TN",-88.864698,35.9969735
"596","Gifford","FL",1,"Gifford ,  FL",-80.4092181,27.6753089
"597","Gilbert","AZ",1,"Gilbert ,  AZ",-111.789027,33.3528264
"598","Gilbert","MN",1,"Gilbert ,  MN",-92.4649052,47.4888156
"599","Gillette","WY",1,"Gillette ,  WY",-105.5022205,44.2910915
"600","Gilmer","TX",1,"Gilmer ,  TX",-94.9424379,32.7287472
"601","Girard","OH",1,"Girard ,  OH",-80.7014662,41.1539465
"602","Glade Spring","VA",1,"Glade Spring ,  VA",-81.7712324,36.791225
"603","Gladewater","TX",1,"Gladewater ,  TX",-94.9427168,32.5365333
"604","Glendale","AZ",8,"Glendale ,  AZ",-112.1859866,33.5386523
"605","Glenville","NY",1,"Glenville ,  NY",-74.0520717,42.9292419
"606","Golden","CO",1,"Golden ,  CO",-105.2210997,39.755543
"607","Golden Shores","AZ",1,"Golden Shores ,  AZ",-114.4741201,34.7862833
"608","Golden Valley","AZ",1,"Golden Valley ,  AZ",-114.2230108,35.2233311
"609","Gonic","NH",1,"Gonic ,  NH",-70.9781184,43.2745261
"610","Goodbee","LA",1,"Goodbee ,  LA",-90.196732,30.495804
"611","Gooding","ID",1,"Gooding ,  ID",-114.7131081,42.9387917
"612","Goodyear","AZ",1,"Goodyear ,  AZ",-112.3576567,33.4353394
"613","Goose Creek","SC",1,"Goose Creek ,  SC",-80.0325867,32.9810059
"614","Goshen","IN",1,"Goshen ,  IN",-85.8344383,41.5822716
"615","Grafton","WV",1,"Grafton ,  WV",-80.0189659,39.3409249
"616","Grand Forks","ND",2,"Grand Forks ,  ND",-97.0328547,47.9252568
"617","Grand Junction","CO",3,"Grand Junction ,  CO",-108.5506486,39.0638705
"618","Grand Prarie","TX",1,"Grand Prarie ,  TX",-96.9977846,32.7459645
"619","Grand Rapids","MI",1,"Grand Rapids ,  MI",-85.6680863,42.9633599
"620","Grand Terrace","CA",1,"Grand Terrace ,  CA",-117.3136544,34.0339031
"621","Grandview","MO",1,"Grandview ,  MO",-94.5330096,38.8858407
"622","Granite Falls","NC",1,"Granite Falls ,  NC",-81.4306457,35.7965205
"623","Grant-Valkaria","FL",1,"Grant-Valkaria ,  FL",-80.571043,27.939804
"624","Grapeview","WA",1,"Grapeview ,  WA",-122.8293192,47.3352273
"625","Gray","TN",1,"Gray ,  TN",-82.4765352,36.4198258
"626","Grayson County","VA",1,"Grayson County ,  VA",-81.2078164,36.6721195
"627","Great Falls","MT",1,"Great Falls ,  MT",-111.3007715,47.5052849
"628","Greece","NY",2,"Greece ,  NY",-77.6930602,43.2097837
"629","Greeley","CO",4,"Greeley ,  CO",-104.7091322,40.4233142
"630","Green","OH",1,"Green ,  OH",-81.4831714,40.9458898
"631","Green Bay","WI",1,"Green Bay ,  WI",-88.0132958,44.5133188
"632","Greenback","TN",1,"Greenback ,  TN",-84.1721357,35.6611904
"633","Greenbelt","MD",1,"Greenbelt ,  MD",-76.8755282,39.0045544
"634","Greene County","MO",1,"Greene County ,  MO",-93.5003454,37.3311215
"635","Greenfield","WI",1,"Greenfield ,  WI",-88.0125865,42.9614039
"636","Greensboro","NC",2,"Greensboro ,  NC",-79.7919754,36.0726354
"637","Greenspoint","TX",1,"Greenspoint ,  TX",-95.4096633,29.9384565
"638","Greenville","MS",1,"Greenville ,  MS",-91.0377029,33.399661
"639","Greenville","NC",2,"Greenville ,  NC",-77.3663538,35.612661
"640","Greenville","SC",3,"Greenville ,  SC",-82.3940104,34.8526176
"641","Greenville County","SC",1,"Greenville County ,  SC",-82.345189,34.9297484
"642","Greenwood","IN",1,"Greenwood ,  IN",-86.1066526,39.6136578
"643","Gresham","OR",2,"Gresham ,  OR",-122.4347334,45.5098388
"644","Griffin","GA",1,"Griffin ,  GA",-84.2640904,33.2467807
"645","Grover Beach","CA",1,"Grover Beach ,  CA",-120.6212821,35.1216424
"646","Grundy","VA",1,"Grundy ,  VA",-82.0990223,37.2778886
"647","Guadalupe County","TX",1,"Guadalupe County ,  TX",-97.87216,29.6477307
"648","Gulfport","MS",4,"Gulfport ,  MS",-89.0928155,30.3674198
"649","Gunlock","KY",1,"Gunlock ,  KY",-82.9259979,37.547597
"650","Gurnee","IL",1,"Gurnee ,  IL",-87.9020186,42.3702996
"651","Guthrie","OK",2,"Guthrie ,  OK",-97.4253185,35.878937
"652","Habersham","GA",1,"Habersham ,  GA",-83.5496566,34.6478893
"653","Hacienda Heights","CA",1,"Hacienda Heights ,  CA",-117.9686755,33.9930677
"654","Hackensack","NJ",2,"Hackensack ,  NJ",-74.0434736,40.8859325
"655","Hackett","AR",1,"Hackett ,  AR",-94.4110494,35.1903732
"656","Hall County","GA",2,"Hall County ,  GA",-83.804868,34.30778
"657","Hallandale Beach","FL",1,"Hallandale Beach ,  FL",-80.148379,25.9812024
"658","Hamilton","NJ",1,"Hamilton ,  NJ",-74.6796651,40.2115109
"659","Hamilton","OH",2,"Hamilton ,  OH",-84.5613355,39.3995008
"660","Hammett","ID",1,"Hammett ,  ID",-115.466186,42.9457307
"661","Hammond","LA",1,"Hammond ,  LA",-90.4611995,30.5043583
"662","Hampton","GA",1,"Hampton ,  GA",-84.2829784,33.3870578
"663","Hampton","NH",1,"Hampton ,  NH",-70.8389219,42.9375932
"664","Hanover","IN",1,"Hanover ,  IN",-85.4735707,38.7142263
"665","Happy Valley","CA",1,"Happy Valley ,  CA",-120.56222,38.68194
"666","Hardeeville","SC",2,"Hardeeville ,  SC",-81.0806665,32.2871413
"667","Hardwick","NJ",2,"Hardwick ,  NJ",-74.9326129,41.0543894
"668","Harker Heights","TX",1,"Harker Heights ,  TX",-97.6597376,31.0835102
"669","Harmony","IN",1,"Harmony ,  IN",-87.069919,39.5349663
"670","Harrisburg","PA",2,"Harrisburg ,  PA",-76.8867008,40.2731911
"671","Harrisonburg","VA",2,"Harrisonburg ,  VA",-78.8689155,38.4495688
"672","Harvey","IL",1,"Harvey ,  IL",-87.6467131,41.6100344
"673","Harvey","LA",2,"Harvey ,  LA",-90.0772944,29.9035387
"674","Hastings","MN",1,"Hastings ,  MN",-92.8513706,44.7443293
"675","Hattiesburg","MS",2,"Hattiesburg ,  MS",-89.2903392,31.3271189
"676","Haughton","LA",1,"Haughton ,  LA",-93.5040627,32.5326514
"677","Havasu","AZ",1,"Havasu ,  AZ",-114.3224548,34.483901
"678","Hawaiian Gardens","CA",1,"Hawaiian Gardens ,  CA",-118.0728424,33.8314045
"679","Hawthorne","CA",1,"Hawthorne ,  CA",-118.3525748,33.9164032
"680","Haymarket","VA",1,"Haymarket ,  VA",-77.6363806,38.8120591
"681","Hays","KS",2,"Hays ,  KS",-99.3267702,38.8791783
"682","Healdton","OK",1,"Healdton ,  OK",-97.4878023,34.2331475
